Stove type: M422,,Latitude of the PUMA device location,[64.87386],Longitude of the PUMA device location,[-147.813],,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PUMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Number of clicks the fuel pump solenoid makes when the stove turns on per time interval,The amount of fuel consumed by the stove,The fuel consumption rate of the stove,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Number of clicks,US gallons,US gallons per hour,F,F,F
1543758596.0,-1,-1,0,0.0,0.0,72.19,17.72,54.47
1543758896.0,-1,-1,0,0.0,0.0,75.52,17.75,57.77
1543759141.0,4,389631,13256,0.05772988,0.848275787755102,73.54,17.77,55.77
1543759496.0,-1,-1,0,0.0,0.0,74.42,17.72,56.7
1543759797.0,-1,-1,0,0.0,0.0,71.74,17.66,54.08
1543760097.0,-1,-1,0,0.0,0.0,71.97,17.6,54.37
1543760383.0,2,389633,2,8.71e-06,0.00010963636363636363,72.42,17.54,54.88
1543760740.0,-1,-1,0,0.0,0.0,73.98,17.47,56.51
1543760794.0,3,393293,3660,0.0159393,1.0626200000000001,70.37,17.46,52.91
1543761148.0,-1,-1,0,0.0,0.0,76.18,17.39,58.79
1543761448.0,-1,-1,0,0.0,0.0,75.08,17.33,57.75
1543761748.0,-1,-1,0,0.0,0.0,78.96,17.27,61.69
1543762049.0,-1,-1,0,0.0,0.0,74.42,17.21,57.21
1543762349.0,-1,-1,0,0.0,0.0,78.11,17.15,60.96
1543762649.0,-1,-1,0,0.0,0.0,73.76,17.09,56.67
1543762950.0,-1,-1,0,0.0,0.0,73.98,17.04,56.94
1543763250.0,-1,-1,0,0.0,0.0,77.26,16.99,60.27
1543763550.0,-1,-1,0,0.0,0.0,73.98,16.95,57.03
1543763850.0,-1,-1,0,0.0,0.0,76.83,16.9,59.93
1543763906.0,4,415989,22696,0.09884108,6.354069428571428,75.08,16.89,58.19
1543764262.0,-1,-1,0,0.0,0.0,72.65,16.84,55.81
1543764562.0,-1,-1,0,0.0,0.0,71.74,16.8,54.94
1543764863.0,-1,-1,0,0.0,0.0,71.97,16.75,55.22
1543765089.0,2,415989,0,0.0,0.0,72.42,16.72,55.7
1543765443.0,-1,-1,0,0.0,0.0,70.37,16.66,53.71
1543765498.0,3,419634,3645,0.015873975,1.039023818181818,72.42,16.66,55.76
1543765852.0,-1,-1,0,0.0,0.0,78.54,16.6,61.94
