Stove Type,M422,Latitude,64.87386,Longitude,-147.813,Square Footage,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PuMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Thermistor resistance of the indoor thermistor
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Thermistor resistance (ohms)
1543866027.0,-1,-1,10367
1543866327.0,-1,-1,9784
1543866628.0,-1,-1,10423
1543866731.0,4,921702,10149
1543867088.0,-1,-1,11251
1543867388.0,-1,-1,10825
1543867688.0,-1,-1,11906
1543867988.0,-1,-1,12852
1543868127.0,2,921706,11251
1543868457.0,3,924716,9938
1543868813.0,-1,-1,9835
1543869114.0,-1,-1,10312
1543869414.0,-1,-1,9734
1543869714.0,-1,-1,10650
1543870014.0,-1,-1,10766
1543870314.0,-1,-1,10535
1543870404.0,4,939041,9835
1543870764.0,-1,-1,10367
1543871064.0,-1,-1,11637
1543871365.0,-1,-1,11188
1543871665.0,-1,-1,11377
1543871965.0,-1,-1,11704
1543872022.0,2,939238,11126
1543872378.0,-1,-1,9990
1543872451.0,3,943153,11126
1543872807.0,-1,-1,10479
1543873107.0,-1,-1,10766
1543873407.0,-1,-1,11441
1543873707.0,-1,-1,11126
1543873852.0,4,953457,9684
1543874209.0,-1,-1,10423
1543874509.0,-1,-1,10707
1543874809.0,-1,-1,10825
1543875109.0,-1,-1,11506
1543875256.0,2,953460,10367
1543875586.0,3,956472,11004
1543875942.0,-1,-1,11975
1543876242.0,-1,-1,10367
1543876543.0,-1,-1,10312
1543876843.0,-1,-1,10423
1543877143.0,-1,-1,10650
1543877443.0,-1,-1,10707
1543877499.0,4,970271,10367
1543877856.0,-1,-1,10312
1543878156.0,-1,-1,10884
1543878457.0,-1,-1,11004
1543878757.0,-1,-1,11004
1543878830.0,2,970485,10707
1543879166.0,4,973556,11637
1543879223.0,3,973974,10825
1543879579.0,-1,-1,11251
1543879879.0,-1,-1,10312
1543880179.0,-1,-1,9585
1543880480.0,-1,-1,10423
1543880780.0,-1,-1,9249
1543881080.0,-1,-1,9990
1543881271.0,4,989042,10312
1543881683.0,-1,-1,10650
1543881983.0,-1,-1,10884
1543882284.0,-1,-1,11188
1543882522.0,2,989042,11975
1543882852.0,4,992052,12115
1543882909.0,3,992470,11314
1543883265.0,-1,-1,11188
1543883565.0,-1,-1,10257
1543883865.0,-1,-1,11251
1543884165.0,-1,-1,9487
1543884466.0,-1,-1,10312
1543884766.0,-1,-1,9585
1543884899.0,4,1007110,9887
1543885256.0,-1,-1,10825
1543885556.0,-1,-1,11126
1543885856.0,-1,-1,10884
1543886053.0,2,1007116,11571
1543886409.0,-1,-1,12699
1543886466.0,3,1010786,11188
1543886822.0,-1,-1,11126
1543887122.0,-1,-1,10592
1543887422.0,-1,-1,9391
1543887722.0,-1,-1,11004
1543888023.0,-1,-1,11377
1543888265.0,4,1024023,10766
1543888622.0,-1,-1,10944
1543888922.0,-1,-1,11571
1543889222.0,-1,-1,10766
1543889393.0,2,1024026,10884
1543889723.0,4,1027036,10944
1543889782.0,3,1027468,11314
1543890107.0,-1,-1,10257
1543890407.0,-1,-1,11314
1543890708.0,-1,-1,9487
1543891008.0,-1,-1,10257
1543891308.0,-1,-1,9784
1543891608.0,-1,-1,9990
1543891778.0,4,1042153,10423
1543892137.0,-1,-1,10825
1543892438.0,-1,-1,11126
1543892739.0,-1,-1,10650
1543892974.0,2,1042158,11004
1543893304.0,3,1045168,11571
1543893660.0,-1,-1,10257
1543893961.0,-1,-1,10203
1543894261.0,-1,-1,11065
1543894561.0,-1,-1,10766
1543894862.0,-1,-1,10096
1543895162.0,-1,-1,10423
1543895462.0,-1,-1,9684
1543895590.0,4,1061986,9734
1543895947.0,-1,-1,11571
1543896248.0,-1,-1,10650
1543896548.0,-1,-1,11377
1543896736.0,2,1061989,10367
1543897092.0,-1,-1,10884
1543897147.0,3,1065647,11637
1543897503.0,-1,-1,9887
1543897803.0,-1,-1,10592
1543898103.0,-1,-1,11377
1543898404.0,-1,-1,10423
1543898704.0,-1,-1,9634
1543899004.0,-1,-1,9734
1543899304.0,-1,-1,10707
1543899545.0,4,1083295,9157
1543899903.0,-1,-1,10367
1543900203.0,-1,-1,11637
1543900503.0,-1,-1,10766
1543900656.0,2,1083295,11441
1543900986.0,4,1086306,11770
1543901043.0,3,1086723,10479
1543901399.0,-1,-1,11126
1543901699.0,-1,-1,9784
1543901999.0,-1,-1,10149
1543902300.0,-1,-1,9784
1543902600.0,-1,-1,11637
1543902900.0,-1,-1,10257
1543903135.0,4,1102116,9835
1543903491.0,-1,-1,11004
1543903791.0,-1,-1,11065
1543904091.0,-1,-1,10884
1543904391.0,-1,-1,11441
1543904691.0,-1,-1,11906
1543904991.0,-1,-1,11704
1543905291.0,-1,-1,11838
1543905591.0,-1,-1,11906
1543905712.0,2,1102119,12549
1543906068.0,-1,-1,11637
1543906132.0,4,1105952,11314
