Stove type: Laser 530,,Latitude of the PUMA device location,[64.91823],Longitude of the PUMA device location,[-147.868],,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PUMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Number of clicks the fuel pump solenoid makes when the stove turns on per time interval,The amount of fuel consumed by the stove,The fuel consumption rate of the stove,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Number of clicks,US gallons,US gallons per hour,F,F,F
1548306833.0,-1,-1,0,0.0,0.0,73.32,12.02,61.3
1548307133.0,-1,-1,0,0.0,0.0,74.42,11.82,62.6
1548307433.0,-1,-1,0,0.0,0.0,74.21,11.63,62.58
1548307733.0,-1,-1,0,0.0,0.0,73.98,11.43,62.55
1548308033.0,-1,-1,0,0.0,0.0,74.21,11.24,62.97
1548308333.0,-1,-1,0,0.0,0.0,74.42,11.04,63.38
1548308634.0,-1,-1,0,0.0,0.0,74.65,10.85,63.8
1548308934.0,-1,-1,0,0.0,0.0,74.65,10.65,64.0
1548309234.0,-1,-1,0,0.0,0.0,73.98,10.46,63.52
1548309534.0,-1,-1,0,0.0,0.0,74.21,10.26,63.95
1548309834.0,-1,-1,0,0.0,0.0,73.98,10.18,63.8
1548310134.0,-1,-1,0,0.0,0.0,74.21,10.14,64.07
1548310434.0,-1,-1,0,0.0,0.0,74.21,10.09,64.12
1548310734.0,-1,-1,0,0.0,0.0,73.76,10.05,63.71
1548311034.0,-1,-1,0,0.0,0.0,74.21,10.0,64.21
1548311335.0,-1,-1,0,0.0,0.0,74.21,9.96,64.25
1548311635.0,-1,-1,0,0.0,0.0,73.98,9.91,64.07
1548311935.0,-1,-1,0,0.0,0.0,73.98,9.87,64.11
1548312235.0,-1,-1,0,0.0,0.0,73.98,9.82,64.16
1548312535.0,-1,-1,0,0.0,0.0,74.65,9.78,64.87
1548312835.0,-1,-1,0,0.0,0.0,74.42,9.73,64.69
1548313135.0,-1,-1,0,0.0,0.0,74.21,9.69,64.52
1548313435.0,-1,-1,0,0.0,0.0,74.21,9.54,64.67
1548313735.0,-1,-1,0,0.0,0.0,75.3,9.36,65.94
1548314035.0,-1,-1,0,0.0,0.0,73.98,9.18,64.8
1548314336.0,-1,-1,0,0.0,0.0,74.42,9.0,65.42
1548314636.0,-1,-1,0,0.0,0.0,74.65,8.82,65.83
1548314936.0,-1,-1,0,0.0,0.0,73.76,8.64,65.12
1548315236.0,-1,-1,0,0.0,0.0,74.42,8.46,65.96
1548315536.0,-1,-1,0,0.0,0.0,74.21,8.28,65.93
1548315836.0,-1,-1,0,0.0,0.0,74.21,8.1,66.11
1548316136.0,-1,-1,0,0.0,0.0,74.42,7.92,66.5
1548316436.0,-1,-1,0,0.0,0.0,73.76,7.74,66.02
1548316736.0,-1,-1,0,0.0,0.0,74.21,7.56,66.65
1548317037.0,-1,-1,0,0.0,0.0,73.76,7.46,66.3
1548317337.0,-1,-1,0,0.0,0.0,73.76,7.39,66.37
1548317637.0,-1,-1,0,0.0,0.0,74.21,7.31,66.9
1548317938.0,-1,-1,0,0.0,0.0,74.21,7.24,66.97
1548318238.0,-1,-1,0,0.0,0.0,74.42,7.16,67.26
1548318538.0,-1,-1,0,0.0,0.0,74.21,7.09,67.12
1548318838.0,-1,-1,0,0.0,0.0,74.21,7.01,67.2
1548319138.0,-1,-1,0,0.0,0.0,74.65,6.94,67.71
1548319438.0,-1,-1,0,0.0,0.0,74.21,6.86,67.35
1548319738.0,-1,-1,0,0.0,0.0,74.21,6.79,67.42
1548320038.0,-1,-1,0,0.0,0.0,74.42,6.71,67.71
1548320338.0,-1,-1,0,0.0,0.0,74.65,6.64,68.01
1548320638.0,-1,-1,0,0.0,0.0,74.42,6.5,67.92
1548320939.0,-1,-1,0,0.0,0.0,74.21,6.35,67.86
1548321239.0,-1,-1,0,0.0,0.0,74.21,6.2,68.01
1548321539.0,-1,-1,0,0.0,0.0,74.21,6.05,68.16
1548321839.0,-1,-1,0,0.0,0.0,73.76,5.9,67.86
1548322139.0,-1,-1,0,0.0,0.0,73.98,5.75,68.23
